year	emp	wage	cap	indoutpt	n	w	k	ys	id
1977	5.0409999	13.1516	.58939999	95.707199	1.6176045	2.5765433	-.52865022	4.5612936	1
1978	5.5999999	12.3018	.6318	97.356903	1.7227666	2.5097456	-.45918241	4.5783834	1
1979	5.0149999	12.8395	.6771	99.608299	1.6124334	2.5525265	-.3899363	4.6012454	1
1980	4.7150002	13.8039	.6171	100.5501	1.5507489	2.6249511	-.48272419	4.6106563	1
1981	4.0929999	14.2897	.50760001	99.558098	1.4092782	2.659539	-.67806154	4.6007414	1
1982	3.1659999	14.8681	.42289999	98.615097	1.1524689	2.699218	-.86061954	4.5912242	1
1983	2.9360001	13.7784	.39199999	100.0301	1.0770482	2.6231022	-.93649346	4.6054711	1
1977	71.319	14.7909	16.9363	95.707199	4.2671628	2.6940122	2.8294592	4.5612936	2
1978	70.642998	14.1036	17.242201	97.356903	4.2576389	2.64643	2.8473599	4.5783834	2
1979	70.917999	14.9534	17.5413	99.608299	4.2615242	2.7049387	2.864558	4.6012454	2
1980	72.030998	15.491	17.6574	100.5501	4.2770967	2.7402592	2.871155	4.6106563	2
1981	73.689003	16.196899	16.713301	99.558098	4.2998538	2.7848198	2.8162048	4.6007414	2
1982	72.418999	16.131399	16.246901	98.615097	4.2824688	2.7807677	2.7879021	4.5912242	2
1983	68.517998	16.305099	17.3696	100.0301	4.2270966	2.7914779	2.8547215	4.6054711	2
1977	19.156	22.691999	7.0974998	95.707199	2.952616	3.1220124	1.9597425	4.5612936	3
1978	19.440001	20.6938	6.9468999	97.356903	2.9673328	3.029834	1.9382955	4.5783834	3
1979	19.9	21.2048	6.8565001	99.608299	2.9907198	3.0542276	1.9251971	4.6012454	3
1980	20.24	22.197001	6.6546998	100.5501	3.0076609	3.0999572	1.8953234	4.6106563	3
1981	19.57	24.871401	6.2136002	99.558098	2.9739978	3.2137187	1.8267405	4.6007414	3
1982	18.125	24.8447	5.7146001	98.615097	2.8972921	3.2126443	1.7430243	4.5912242	3
1983	16.85	28.9077	7.3431001	100.0301	2.8243506	3.3641081	1.9937611	4.6054711	3
1977	26.16	14.8283	8.4902	118.2223	3.2642314	2.6965375	2.1389127	4.7725668	4
1978	26.74	14.8379	8.7419996	120.1551	3.2861605	2.6971848	2.168139	4.7887836	4
1979	27.280001	14.8756	9.1869001	118.8319	3.3061538	2.6997223	2.2177787	4.77771	4
1980	27.83	15.2332	9.4035997	111.9164	3.3261147	2.7234774	2.2410927	4.717752	4
1981	27.169001	17.252899	8.8938999	97.554001	3.3020766	2.8479803	2.1853657	4.5804062	4
1982	24.504	19.314199	8.3905001	92.198196	3.1988363	2.9608405	2.1271002	4.5239406	4
1983	22.562	20.005501	7.4351001	92.404099	3.1162672	2.9960072	2.006212	4.5261712	4
1976	86.677002	20.632299	22.3804	94.899101	4.4621887	3.0268579	3.1081855	4.552814	5
1977	87.099998	18.2782	22.2703	96.503799	4.4670568	2.905709	3.1032538	4.5695825	5
1978	87	18.1369	25.167	98.816299	4.4659081	2.8979485	3.2255337	4.5932627	5
1979	90.400002	18.1896	25.3515	100.4835	4.5042443	2.9008501	3.2328379	4.6099935	5
1980	89.199997	19.289301	28.239401	100.1223	4.490881	2.9595506	3.3407183	4.6063924	5
1981	82.699997	19.8242	25.7959	98.527	4.4152198	2.9869034	3.2502155	4.5903306	5
1982	73.699997	19.3873	20.368099	99.508301	4.3000026	2.9646182	3.0139699	4.6002412	5
1976	.74800003	23.1889	.16940001	102.7724	-.29035226	3.1436737	-1.7754924	4.6325169	6
1977	.76599997	20.539301	.1618	107.027	-.26657313	3.0223401	-1.8213943	4.6730809	6
1978	.76200002	20.9387	.1499	108.6788	-.27180868	3.041599	-1.8977869	4.6883969	6
1979	.72899997	21.7626	.14579999	111.119	-.31608158	3.0801928	-1.9255195	4.7106018	6
1980	.73100001	23.470699	.1468	101.9265	-.3133418	3.1557529	-1.9186842	4.6242518	6
1981	.77899998	24.1252	.14120001	99.497101	-.24974425	3.1832569	-1.9575779	4.6001287	6
1982	.78200001	25.206499	.1261	99.310303	-.24590053	3.2271018	-2.0706799	4.5982494	6
1976	1.6	30.851299	.99339998	104.7664	.47000363	3.429179	-.0066218986	4.6517329	7
1977	1.65	28.555	.93300003	107.4791	.50077528	3.3518322	-.069350049	4.6772966	7
1978	1.6799999	29.860201	.96499997	108.9188	.51879376	3.3965266	-.035627205	4.6906028	7
1979	1.6799999	30.589399	.96289998	111.5591	.51879376	3.4206536	-.037805732	4.7145543	7
1980	1.66	27.4886	.9224	100	.50681758	3.3137712	-.080776311	4.6051702	7
1981	1.5599999	31.486799	.99919999	99.3965	.44468579	3.4495683	-.00080033374	4.5991168	7
1982	1.54	32.0728	.88020003	99.293098	.43178239	3.4680083	-.12760609	4.5980759	7
1976	9.1450005	30.908899	4.5486002	104.7664	2.2132072	3.4310441	1.5148195	4.6517329	8
1977	10.855	24.467899	4.6194	107.4791	2.3846257	3.1973619	1.5302649	4.6772966	8
1978	10.749	28.055799	5.0373001	108.9188	2.3748126	3.3341954	1.6168703	4.6906028	8
1979	10.959	28.744499	4.8748002	111.5591	2.394161	3.3584464	1.5840791	4.7145543	8
1980	10.698	28.485399	3.2221	100	2.3700569	3.3493917	1.1700333	4.6051702	8
1981	8.1739998	31.7356	2.8343	99.3965	2.1009583	3.4574389	1.041795	4.5991168	8
1982	4.7010002	29.896299	1.7506	99.293098	1.5477753	3.3977346	.55995858	4.5980759	8
1976	2.006	26.0825	.38240001	102.7724	.69614273	3.2612646	-.96128809	4.6325169	9
1977	2.6559999	21.9545	.4551	107.027	.97682118	3.0889721	-.78723812	4.6730809	9
1978	2.7119999	22.809999	.45289999	108.6788	.99768633	3.1271989	-.79208392	4.6883969	9
1979	2.744	23.372	.4524	111.119	1.0094167	3.1515386	-.79318851	4.7106018	9
1980	2.757	23.0737	.46759999	101.9265	1.0141431	3.1386933	-.76014209	4.6242518	9
1981	2.849	24.304399	.48100001	99.497101	1.0469681	3.1906574	-.731888	4.6001287	9
1982	2.7520001	26.898399	.47530001	99.310303	1.0123279	3.2920668	-.74380904	4.5982494	9
1976	3.823	23.3533	1.1293	95.3657	1.3410355	3.1507382	.12159797	4.5577188	10
1977	3.9349999	21.3251	1.0143	96.731499	1.3699108	3.0598848	.014198708	4.571939	10
1978	3.5280001	20.9319	1.1169	99.233299	1.2607312	3.0412743	.11055696	4.5974736	10
1979	3.52	20.4536	1.1626	100.7335	1.258461	3.0181589	.15065891	4.6124783	10
1980	3.467	23.4946	1.0827	100	1.2432897	3.1567707	.079457931	4.6051702	10
