schlcode	enrollment	enrollment_boys	enrollment_girls	c_num4rd	c_type	flgrm4	mrkgrm4	ngrm4	flmth4	mrkmth4	nmth4	towncode	popcode	grade	classid	classize	mathsize	avgmath	passmath	verbsize	avgverb	passverb	disadvantaged	c_num5rd	flgrm5	mrkgrm5	ngrm5	flmth5	mrkmth5	nmth5
11005	35	12	23	1	1	17	66	35	17.139999	65	35	26104	11	4	1	35	35	64.940002	17.1	35	65.769997	17.1	24							
11006	54	23	31	2	2	31	61	49	54.169998	57	48	26104	12	4	1	27	25	56.799999	60	25	59.32	40	38							
11006	54	23	31	2	2	31	61	49	54.169998	57	48	26104	12	4	2	27	23	56.91	47.799999	24	63.580002	20.799999	38							
11009	38	15	23	1	1	13	78	38	21.620001	77	37	4622	11	4	1	38	37	76.699997	21.6	38	78.370003	13.2	6							
11010	73	40	33	2	2	20	74	70	51.389999	64	72	30007	11	4	1	37	35	61.400002	65.699997	35	76.599998	20	3							
11010	73	40	33	2	2	20	74	70	51.389999	64	72	30007	11	4	2	36	37	66.650002	37.799999	35	72.370003	20	3							
11013	65	31	34	2	2	38	64	61	40.98	65	61	30007	11	4	2	31	28	58.709999	64.300003	28	59.5	42.900002	8							
11013	65	31	34	2	2	38	64	61	40.98	65	61	30007	11	4	1	34	33	70.336967	21.193333	33	67.818184	33.842422	8							
11015	89	35	54	3	3	5	84	85	8.2399998	80	85	30007	11	4	1	30	27	81.589996	7.4000001	27	84.07	0	6							
11015	89	35	54	3	3	5	84	85	8.2399998	80	85	30007	11	4	2	30	30	79.57	6.6999998	30	82	6.6999998	6							
11015	89	35	54	3	3	5	84	85	8.2399998	80	85	30007	11	4	3	29	28	78.927498	10.7	28	86.075356	8	6							
11017	85	43	42	3	3	27	68	75	30.26	66	76	30007	11	4	1	29	27	72.889999	11.1	27	74.849998	22.200001	9							
11017	85	43	42	3	3	27	68	75	30.26	66	76	30007	11	4	2	28	28	67.43	42.900002	28	62.959999	32.099998	9							
11017	85	43	42	3	3	27	68	75	30.26	66	76	30007	11	4	3	28	27	58.630001	40.700001	26	54.23	38.5	9							
11020	74	32	42	2	2	17	75	69	18.309999	76	71	30007	11	4	1	38	36	76.389999	19.4	36	75.809998	13.9	5							
11020	74	32	42	2	2	17	75	69	18.309999	76	71	30007	11	4	2	36	35	75.629997	17.1	33	73.82	21.200001	5							
11021	66	31	35	2	2	17	75	65	26.15	71	65	30007	11	4	2	34	34	71.290001	17.6	34	75.349998	14.7	11							
11021	66	31	35	2	2	17	75	65	26.15	71	65	30007	11	4	1	31	31	70.681938	35.52742	31	74.616127	19.522581	11							
11027	96	48	48	3	3	10	77	93	22.58	71	93	30007	11	4	1	33	31	68.129997	16.1	31	76.610001	6.5	5							
11027	96	48	48	3	3	10	77	93	22.58	71	93	30007	11	4	2	32	30	71.199997	30	30	75.5	16.700001	5							
11027	96	48	48	3	3	10	77	93	22.58	71	93	30007	11	4	3	31	32	74	21.9	32	77.660004	6.3000002	5							
11029	87	39	48	3	3	27	65	82	47.560001	60	82	30007	11	4	1	31	30	61.57	50	30	66.230003	13.3	11							
11029	87	39	48	3	3	27	65	82	47.560001	60	82	30007	11	4	2	26	27	55.889999	59.299999	27	61.700001	48.099998	11							
11029	87	39	48	3	3	27	65	82	47.560001	60	82	30007	11	4	3	30	25	61.560001	32	25	66.279999	20	11							
11031	73	36	37	2	2	13	77	68	25.35	72	71	30007	11	4	1	36	35	68.260002	31.4	32	75.940002	18.799999	12							
11031	73	36	37	2	2	13	77	68	25.35	72	71	30007	11	4	2	37	36	75.169998	19.4	36	77.470001	8.3000002	12							
11032	80	40	40	3	3	27	62	73	50	61	80	30007	11	4	1	29	26	65.849998	50	23	62.040001	30.4	13							
11032	80	40	40	3	3	27	62	73	50	61	80	30007	11	4	2	29	27	62.669998	48.099998	26	62.349998	23.1	13							
11032	80	40	40	3	3	27	62	73	50	61	80	30007	11	4	3	29	27	54.65963	51.900002	24	61.5825	27.966667	13							
11034	79	49	30	3	3	15	66	71	52.049999	62	73	30007	11	4	1	26	22	66.5	40.900002	22	71	13.6	11							
11034	79	49	30	3	3	15	66	71	52.049999	62	73	30007	11	4	2	26	24	54	66.699997	23	58.91	21.700001	11							
11034	79	49	30	3	3	15	66	71	52.049999	62	73	30007	11	4	3	27	27	66	48.099998	26	68.120003	11.5	11							
11044	36	17	19	1	1	24	62	29	78.57	52	28	30007	12	4	1	35	28	51.860001	78.599998	29	62.139999	24.1	50							
11045	77	34	43	2	2	16	74	75	32	69	75	30007	12	4	1	38	37	71.239998	16.200001	37	76.080002	10.8	9							
11045	77	34	43	2	2	16	74	75	32	69	75	30007	12	4	2	39	38	67.029999	47.400002	38	71.32	21.1	9							
11048	87	87	0	2	2	8	81	40	42.5	81	40	30007	12	4	1	22	18	82.220001	33.299999	18	81.440002	5.5999999	11							
11048	87	87	0	2	2	8	81	40	42.5	81	40	30007	12	4	2	23	22	79.360001	50	22	80.68	9.1000004	11							
11054	42	42	0	2	2	33	67	39	48.779999	63	41	30007	12	4	1	22	22	58.82	63.599998	20	67	35	17							
11054	42	42	0	2	2	33	67	39	48.779999	63	41	30007	12	4	2	20	19	68.260002	31.6	19	66.260002	31.6	17							
11058	65	32	33	2	2	17	72	65	43.939999	64	66	30007	12	4	2	35	31	63.970001	54.799999	31	72.580002	16.1	13							
11061	50	22	28	2	2	9	66	44	75.559998	55	45	30007	12	4	1	22	22	49.77	86.400002	20	61.150002	10	15							
11061	50	22	28	2	2	9	66	44	75.559998	55	45	30007	12	4	2	28	23	60.002609	65.191307	24	70.041664	8.166667	15							
11064	21	9	12	1	1	35	52	20	50	45	20	10157	12	4	1	21	20	45.099998	50	20	52.200001	35	25							
11065	23	9	14	1	1	9	66	22	40.91	60	22	10157	12	4	1	23	22	60.32	40.900002	22	65.860001	9.1000004	42							
11067	60	34	26	3	2	35	53	51	60.779999	55	51	8094	12	4	2	26	24	56.830002	54.200001	24	59.25	20.799999	31							
11067	60	34	26	3	2	35	53	51	60.779999	55	51	8094	12	4	1	27	27	53.373333	66.628891	27	47.444443	47.622223	31							
11072	49	26	23	2	2	13	70	45	33.330002	66	45	7963	12	4	1	24	23	64.959999	43.5	23	70.739998	8.6999998	25							
11072	49	26	23	2	2	13	70	45	33.330002	66	45	7963	12	4	2	25	22	67.68	22.700001	22	69.050003	18.200001	25							
11073	43	21	22	2	2	5	82	37	10	76	40	5678	11	4	1	21	21	75.050003	9.5	21	83.760002	9.5	7							
11073	43	21	22	2	2	5	82	37	10	76	40	5678	11	4	2	22	19	76.949997	10.5	16	80.559998	0	7							
11106	65	38	27	3	2	6	78	52	27.780001	68	54	30007	11	4	1	26	28	72.610001	17.9	26	79.650002	3.8	3							
11106	65	38	27	3	2	6	78	52	27.780001	68	54	30007	11	4	2	27	26	62.23	38.5	26	75.580002	7.6999998	3							
11108	14	8	6	1	1									4	1	14	11	50.18	63.599998	11	52.360001	45.5	54							
11109	118	50	68	4	4	10	79	112	21.620001	74	111	10561	11	4	1	30	26	77.650002	7.6999998	26	80.190002	7.6999998	5							
11109	118	50	68	4	4	10	79	112	21.620001	74	111	10561	11	4	2	33	31	73.349998	22.6	31	79.940002	3.2	5							
11109	118	50	68	4	4	10	79	112	21.620001	74	111	10561	11	4	3	24	23	73.519997	30.4	24	78.540001	12.5	5							
11109	118	50	68	4	4	10	79	112	21.620001	74	111	10561	11	4	4	31	31	71.944839	25.800646	31	77.418068	16.793549	5							
11111	99	50	49	3	3	16	67	97	42.27	66	97	30007	11	4	1	34	35	61.689999	40	35	69.540001	22.9	5							
11111	99	50	49	3	3	16	67	97	42.27	66	97	30007	11	4	2	29	28	67.040001	46.400002	28	63.209999	10.7	5							
11111	99	50	49	3	3	16	67	97	42.27	66	97	30007	11	4	3	36	34	69.580292	41.205589	34	67.50647	13.261765	5							
11115	60	30	30	3	2	27	69	45	56.25	59	48	30007	12	4	1	18	20	56.099998	55	18	61.560001	27.799999	11							
11115	60	30	30	3	2	27	69	45	56.25	59	48	30007	12	4	2	30	28	60.5	57.099998	27	73.589996	25.9	11							
11117	72	40	32	3	2	29	65	63	44.619999	57	65	26104	11	4	1	32	31	59.189999	41.900002	29	71.480003	13.8	31							
11117	72	40	32	3	2	29	65	63	44.619999	57	65	26104	11	4	2	33	33	55.82	45.5	34	59.529999	41.200001	31							
11119	83	39	44	3	3	16	72	77	35.060001	64	77	36111	12	4	1	22	18	67.779999	44.400002	18	81.720001	0	21							
11119	83	39	44	3	3	16	72	77	35.060001	64	77	36111	12	4	2	39	37	63	29.700001	37	66.970001	18.9	21							
11119	83	39	44	3	3	16	72	77	35.060001	64	77	36111	12	4	3	22	22	62.589092	36.432728	22	72.506821	24.213636	21							
11120	107	51	56	3	3	34	66	100	55.77	57	104	30007	11	4	1	37	35	60.029999	51.400002	35	68.169998	25.700001	2							
11120	107	51	56	3	3	34	66	100	55.77	57	104	30007	11	4	2	36	35	51.709999	71.400002	32	62.380001	43.799999	2							
11120	107	51	56	3	3	34	66	100	55.77	57	104	30007	11	4	3	34	34	59.880001	44.099998	33	66.150002	33.299999	2							
11126	45	0	45	2	2	25	67	44	52.27	58	44	30007	12	4	1	23	22	53.32	63.599998	22	61.139999	40.900002	16							
11126	45	0	45	2	2	25	67	44	52.27	58	44	30007	12	4	2	22	22	62.950001	40.900002	22	72.949997	9.1000004	16							
11127	43	21	22	2	1	17	71	29	34.48	61	29	30007	11	4	1	31	29	61	34.48	29	71	17	6							
11128	75	39	36	2	2	7	74	71	16.67	74	72	30007	12	4	2	38	37	77.760002	2.7	37	75.220001	5.4000001	12							
11132	95	44	51	3	3	10	79	87	42.529999	67	87	36046	12	4	2	33	32	62.779999	53.099998	32	74.75	15.6	9							
11132	95	44	51	3	3	10	79	87	42.529999	67	87	36046	12	4	3	32	27	73.849998	29.6	28	84.25	3.5999999	9							
11132	95	44	51	3	3	10	79	87	42.529999	67	87	36046	12	4	1	30	28	65.217499	42.918213	27	78.59259	10	9							
11133	32	16	16	1	1	15	77	27	28.57	81	28	30007	12	4	1	32	28	80.57	28.6	27	76.959999	14.8	7							
11134	65	37	28	2	2	20	71	61	61.290001	56	62	30007	11	4	1	34	27	58.369999	55.599998	26	70.959999	23.1	2							
11134	65	37	28	2	2	20	71	61	61.290001	56	62	30007	11	4	2	31	35	53.709999	65.699997	35	70.260002	17.1	2							
11135	66	36	30	2	2	7	81	70	10	78	70	30007	11	4	1	31	32	74.910004	6.3000002	32	78.970001	3.0999999	4							
11135	66	36	30	2	2	7	81	70	10	78	70	30007	11	4	2	35	38	80.82	13.2	38	82.760002	10.5	4							
11144	98	59	39	3	3	17	68	83	28.57	63	84	30007	11	4	1	32	28	60.43	35.700001	27	70.559998	22.200001	10							
11144	98	59	39	3	3	17	68	83	28.57	63	84	30007	11	4	3	32	28	67	25	28	68.5	3.5999999	10							
