tabroad	tdomestic	tinkind	tgifts	income	wage	entrepreneourial	rental	interest	pension	dividend	primary	somesecondary	secondary	someuniversity	university	age	female	married	child1	child7	child15	size	bothwork	notemployed	marriedf	region	transfers
0	0	420	0	24300	24300	0	0	0	0	0	1	0	0	0	0	48	1	0	0	0	1	4	0	1	0	0	420
0	0	101	0	26500	20500	0	1200	0	0	0	1	0	0	0	0	73	1	0	0	0	0	3	0	1	0	0	101
36000	0	546	0	45940	44740	0	0	0	0	0	0	0	0	0	1	36	1	1	0	1	1	6	0	0	1	0	36546
0	0	370	0	21900	21900	0	0	0	0	0	0	0	0	1	0	22	0	1	0	0	0	2	0	0	0	0	370
0	0	620	0	34300	31900	0	0	0	0	0	0	0	1	0	0	65	0	1	0	0	0	6	0	0	0	0	620
0	0	749	0	65700	65700	0	0	0	0	0	0	0	0	1	0	30	0	1	0	0	0	7	1	0	0	0	749
12000	0	4074	0	38000	32000	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	1	5	0	0	0	0	16074
0	0	0	0	36560	32960	0	0	0	0	0	0	1	0	0	0	29	0	1	0	1	0	4	1	0	0	0	0
18000	3000	1482	0	30900	18900	0	0	0	0	0	0	0	0	1	0	32	0	1	0	2	0	4	0	0	0	0	22482
0	0	2439	0	25200	25200	0	0	0	0	0	1	0	0	0	0	35	0	1	0	1	2	5	0	0	0	0	2439
0	0	432	0	42870	21900	17370	0	0	0	0	0	1	0	0	0	36	0	1	0	0	1	6	1	0	0	0	432
60000	0	1686	0	27900	21900	0	0	0	0	0	0	0	0	1	0	44	0	1	0	0	1	5	1	0	0	0	61686
5000	0	1305	0	20388	16788	0	0	0	0	0	0	0	1	0	0	40	0	1	0	0	2	4	0	0	0	0	6305
0	1200	4441	0	18646	15588	0	0	0	0	0	0	1	0	0	0	33	0	1	0	0	3	5	0	0	0	0	5641
0	0	216	0	31280	21660	0	0	0	0	0	0	0	1	0	0	36	0	1	0	0	1	3	0	0	0	0	216
0	0	460	0	41500	35500	0	0	0	0	0	0	0	0	1	0	35	0	1	0	1	3	6	0	0	0	0	460
0	0	360	0	28674	7794	18480	0	0	0	0	0	1	0	0	0	42	0	1	0	0	4	6	0	0	0	0	360
0	0	77	0	33892	33842	0	0	0	0	0	0	0	1	0	0	31	0	1	0	1	2	6	1	0	0	0	77
0	2400	410	0	27900	21900	0	0	0	0	0	0	0	0	0	0	78	1	0	1	0	1	7	0	1	0	0	2810
0	3600	0	0	26000	26000	0	0	0	0	0	0	0	1	0	0	39	0	1	0	0	1	4	0	0	0	0	3600
66000	0	543	0	17176	0	5176	0	0	0	0	0	0	1	0	0	59	1	1	0	0	4	11	0	0	1	0	66543
0	0	235	0	12120	12120	0	0	0	0	0	0	1	0	0	0	24	1	0	0	1	1	3	0	0	0	0	235
0	0	66	0	56584	0	46984	0	0	0	0	0	1	0	0	0	45	0	1	0	0	2	6	0	0	0	0	66
2500	0	840	0	57740	36930	0	7200	0	0	0	1	0	0	0	0	59	0	1	0	0	0	6	0	1	0	0	3340
0	0	0	0	72530	26750	2180	31600	0	105	0	0	0	1	0	0	54	0	1	0	0	2	4	1	0	0	0	0
0	0	0	0	16800	16800	0	0	0	0	0	0	0	1	0	0	40	0	1	0	3	1	6	0	0	0	0	0
1000	0	0	0	98259	70042	13817	0	0	0	0	0	0	0	0	1	31	0	1	2	0	0	9	1	0	0	0	1000
0	0	0	0	3140	3140	0	0	0	0	0	1	0	0	0	0	37	1	1	0	1	4	8	0	1	1	0	0
0	0	0	0	30434	18434	0	0	0	0	0	1	0	0	0	0	47	0	1	0	1	2	5	0	0	0	0	0
0	0	1382	0	16960	15748	0	0	0	0	0	0	1	0	0	0	22	0	1	0	2	0	4	0	0	0	0	1382
0	0	264	0	48608	48506	0	0	0	0	0	0	1	0	0	0	54	0	1	0	2	1	10	0	0	0	0	264
60500	0	12306	1050	1050	0	0	0	0	0	0	0	0	0	1	0	27	1	1	0	2	1	5	0	1	1	0	71756
0	0	412	0	34300	29500	0	0	0	0	0	0	0	0	1	0	40	0	1	0	2	1	5	0	0	0	0	412
0	0	42	0	13669	13637	0	0	0	0	0	0	0	0	1	0	35	0	1	0	2	2	6	0	0	0	0	42
0	0	132	0	22847	21347	0	0	0	0	0	1	0	0	0	0	58	0	1	0	0	3	7	0	0	0	0	132
0	0	370	2000	83890	70860	0	0	0	14400	0	0	0	1	0	0	65	0	1	0	2	0	6	0	0	0	0	-1630
0	0	124	500	85524	61100	5948	0	0	0	0	1	0	0	0	0	40	0	1	0	1	3	7	1	0	0	0	-376
2100	0	1325	200	21600	19600	0	0	0	0	0	1	0	0	0	0	45	0	1	0	0	1	5	0	0	0	0	3225
37800	0	170	2000	32602	28970	0	0	192	0	0	0	0	0	1	0	32	1	1	0	0	2	4	0	1	1	0	35970
0	0	710	0	25494	0	24894	0	0	0	0	1	0	0	0	0	32	0	1	0	3	0	5	0	0	0	0	710
15000	0	383	500	67496	29400	31848	900	0	0	0	1	0	0	0	0	41	1	1	0	1	0	4	0	1	1	0	14883
120000	0	40	500	20626	20000	0	0	126	0	0	0	0	0	0	1	29	1	1	0	0	0	2	0	0	1	0	119540
71000	0	535	5000	5323	0	0	0	323	0	0	0	0	0	1	0	27	1	1	0	2	2	6	0	1	1	0	66535
2100	0	941	200	12162	11750	0	0	0	0	0	1	0	0	0	0	30	0	1	0	2	2	6	0	0	0	0	2841
4530	1118	1398	300	32101	13700	0	0	0	0	0	0	0	1	0	0	44	0	0	0	0	0	4	0	0	0	0	6746
2100	0	1044	0	15765	15721	0	0	0	0	0	0	0	0	0	0	44	1	0	0	1	1	6	0	0	0	0	3144
3075	98	1801	100	21800	21500	0	0	0	0	0	0	0	0	1	0	38	0	1	0	0	2	4	0	0	0	0	4874
0	0	450	2000	63526	47126	0	0	0	0	0	0	0	1	0	0	41	0	1	0	0	3	8	1	0	0	0	-1550
8000	150	200	1000	50357	43457	5900	0	0	0	0	0	0	0	1	0	34	0	1	0	0	1	3	0	0	0	0	7350
8000	0	1164	0	43772	43772	0	0	0	0	0	0	0	1	0	0	45	0	1	0	0	2	7	0	0	0	0	9164
0	0	2718	0	51540	9360	9980	17800	0	0	0	0	1	0	0	0	48	0	1	0	0	2	8	1	0	0	0	2718
0	0	84	0	80820	64892	0	0	0	0	0	0	0	1	0	0	37	0	1	1	0	1	6	0	0	0	0	84
0	0	1154	0	50000	50000	0	0	0	0	0	0	0	1	0	0	34	0	1	0	0	2	5	1	0	0	0	1154
0	0	1434	0	46310	26600	14910	0	0	0	0	0	0	1	0	0	30	0	1	0	1	2	6	1	0	0	0	1434
0	0	522	0	24460	24360	0	0	0	0	0	0	0	1	0	0	31	0	1	0	3	0	5	0	0	0	0	522
