block	barrio	calle	altura	sameblock	distance	public	gasstation	bank	thefts	month	oneblock
870	Once	Cordoba	a2300	0	1	1	0	0	0	4	1
851	Once	Tucuman	a2400	0	2	0	0	0	0	4	0
843	Once	Lavalle	a2300	1	0	0	0	1	0	4	0
796	Once	Pasteur	a500	0	1	0	0	0	0	4	1
790	Once	Azcuenaga	a700	1	0	0	0	0	0	4	0
789	Once	Azcuenaga	a600	0	1	0	0	0	0	4	1
844	Once	Lavalle	a2400	1	0	0	0	0	0	4	0
858	Once	Viamonte	a2400	0	1	0	0	1	0	4	1
787	Once	Azcuenaga	a400	0	1	0	0	1	0	4	1
850	Once	Tucuman	a2300	0	1	0	0	0	0	4	1
864	Once	San Luis	a2400	0	1	0	0	0	0	4	1
871	Once	Cordoba	a2400	0	1	0	0	0	0	4	1
857	Once	Viamonte	a2300	1	0	0	0	0	0	4	0
795	Once	Pasteur	a400	0	1	0	0	0	0	4	1
788	Once	Azcuenaga	a500	0	1	0	0	1	0	4	1
797	Once	Pasteur	a600	1	0	0	0	0	0	4	0
798	Once	Pasteur	a700	0	1	0	0	0	0	4	1
836	Once	Corrientes	a2400	0	2	0	0	1	0	4	0
794	Once	Pasteur	a300	0	1	0	0	0	0	4	1
784	Once	Azcuenaga	a100	0	1	0	0	0	0	4	1
814	Once	Tte. Gral. Peron	a2300	0	1	0	0	0	0	4	1
808	Once	Bartolome Mitre	a2400	0	2	0	0	0	0	4	0
835	Once	Corrientes	a2300	0	2	0	0	1	0	4	0
815	Once	Tte. Gral. Peron	a2400	1	0	0	0	0	.25	4	0
822	Once	Sarmiento	a2300	0	1	0	0	0	0	4	1
800	Once	Rivadavia	a2400	0	3	1	0	1	0	4	0
791	Once	Pasteur	a0-100	0	3	0	0	0	0	4	0
785	Once	Azcuenaga	a200	0	1	0	0	0	0	4	1
799	Once	Rivadavia	a2300	0	3	0	0	0	0	4	0
793	Once	Pasteur	a200	0	1	0	0	0	0	4	1
786	Once	Azcuenaga	a300	0	2	0	0	1	0	4	0
783	Once	Azcuenaga	a0-100	0	2	0	0	0	0	4	0
823	Once	Sarmiento	a2400	0	2	0	0	0	1	4	0
792	Once	Pasteur	a100	0	2	0	0	0	0	4	0
807	Once	Bartolome Mitre	a2300	0	2	0	0	0	0	4	0
781	Once	Larrea	a700-750	0	2	0	0	0	0	4	0
780	Once	Larrea	a600	0	2	0	0	0	0	4	0
782	Once	Larrea	a750-800	0	2	0	0	0	0	4	0
779	Once	Larrea	a500	0	1	0	0	0	0	4	1
778	Once	Larrea	a400	0	1	0	0	1	0	4	1
774	Once	Larrea	a0-100	0	2	0	0	1	0	4	0
776	Once	Larrea	a200	0	1	0	0	0	.25	4	1
777	Once	Larrea	a300	0	2	0	0	0	0	4	0
775	Once	Larrea	a100	0	1	0	0	0	.25	4	1
701	V. Crespo	Aguirre	a300	0	2	0	0	0	0	4	0
699	V. Crespo	Aguirre	a100	0	3	0	0	0	0	4	0
541	V. Crespo	Lavalleja	a500	0	3	0	0	0	1	4	0
687	V. Crespo	Velasco	a0-100	0	4	0	0	0	0	4	0
689	V. Crespo	Velasco	a200	0	3	0	0	0	0	4	0
698	V. Crespo	Aguirre	a0-100	0	4	0	0	0	0	4	0
688	V. Crespo	Velasco	a100	0	4	0	0	0	0	4	0
700	V. Crespo	Aguirre	a200	0	2	0	0	0	1	4	0
534	V. Crespo	Julian Alvarez	a400	0	3	0	0	0	0	4	0
540	V. Crespo	Lavalleja	a400	0	3	0	0	0	0	4	0
546	V. Crespo	Frias	a400	0	4	0	0	0	1	4	0
679	V. Crespo	Vera	a300	0	3	0	0	0	0	4	0
535	V. Crespo	Julian Alvarez	a500	0	2	0	0	0	0	4	0
859	Once	Viamonte	a2500	0	2	0	0	0	0	4	0
863	Once	Viamonte	a2900	0	1	0	0	0	0	4	1
874	Once	Cordoba	a2600-2650	0	1	0	0	0	0	4	1
771	Once	Paso	a600	0	2	0	0	1	0	4	0
758	Once	Pueyrredon	a800	0	2	1	0	0	0	4	0
739	Once	Ecuador	a700	0	1	0	0	0	1	4	1
759	Once	Pueyrredon	a900	0	2	0	0	0	0	4	0
868	Once	San Luis	a2800	0	1	0	0	0	1	4	1
866	Once	San Luis	a2600	0	1	0	0	0	0	4	1
747	Once	Boulogne Sur Mer	a700	0	1	0	0	0	0	4	1
773	Once	Paso	a750-800	1	0	0	0	0	0	4	0
741	Once	Ecuador	a900	1	0	0	1	0	.25	4	0
731	Once	Jean Jaures	a800	0	1	0	1	0	0	4	1
748	Once	Boulogne Sur Mer	a800	0	1	0	0	0	0	4	1
865	Once	San Luis	a2500	0	1	0	0	0	0	4	1
860	Once	Viamonte	a2600	0	2	0	0	0	0	4	0
772	Once	Paso	a700-750	0	1	0	0	0	0	4	1
749	Once	Boulogne Sur Mer	a900	1	0	0	0	0	0	4	0
876	Once	Cordoba	a2700	0	1	0	0	0	.25	4	1
732	Once	Jean Jaures	a900	0	2	0	0	0	0	4	0
875	Once	Cordoba	a2650-2700	0	1	0	0	0	.25	4	1
861	Once	Viamonte	a2700	0	2	0	0	0	0	4	0
862	Once	Viamonte	a2800	0	2	0	0	0	0	4	0
872	Once	Cordoba	a2500-2550	0	1	0	0	0	0	4	1
867	Once	San Luis	a2700	0	1	0	0	0	0	4	1
869	Once	San Luis	a2900	0	1	0	0	0	0	4	1
757	Once	Pueyrredon	a700	0	1	0	0	0	0	4	1
740	Once	Ecuador	a800	0	1	0	0	0	0	4	1
873	Once	Cordoba	a2550-2600	0	1	0	0	1	0	4	1
770	Once	Paso	a500	0	1	0	0	0	0	4	1
737	Once	Ecuador	a500	1	0	0	0	0	0	4	0
746	Once	Boulogne Sur Mer	a600	1	0	0	0	0	1	4	0
848	Once	Lavalle	a2800	0	1	0	0	0	0	4	1
755	Once	Pueyrredon	a500	0	1	1	0	1	0	4	1
738	Once	Ecuador	a600	1	0	0	0	0	0	4	0
745	Once	Boulogne Sur Mer	a500	0	1	0	0	0	0	4	1
769	Once	Paso	a400	1	0	0	0	0	0	4	0
846	Once	Lavalle	a2600	0	1	1	0	0	0	4	1
845	Once	Lavalle	a2500	0	1	0	0	0	0	4	1
756	Once	Pueyrredon	a600	1	0	0	0	1	0	4	0
729	Once	Jean Jaures	a600	0	1	0	0	0	0	4	1
730	Once	Jean Jaures	a700	1	0	0	0	0	0	4	0
728	Once	Jean Jaures	a500	0	2	0	0	0	0	4	0
849	Once	Lavalle	a2900	0	1	0	0	0	0	4	1
847	Once	Lavalle	a2700	0	1	0	0	0	0	4	1
854	Once	Tucuman	a2700	0	1	0	0	0	0	4	1
855	Once	Tucuman	a2800	0	1	0	0	0	0	4	1
852	Once	Tucuman	a2500	0	2	0	0	0	0	4	0
856	Once	Tucuman	a2900	0	1	0	0	0	0	4	1
853	Once	Tucuman	a2600	0	1	0	0	0	0	4	1
538	V. Crespo	Lavalleja	a200	0	1	0	0	0	1	4	1
544	V. Crespo	Frias	a200	0	2	0	0	0	0	4	0
678	V. Crespo	Vera	a200	0	2	0	0	0	0	4	0
690	V. Crespo	Velasco	a300	0	3	0	0	0	0	4	0
545	V. Crespo	Frias	a300	0	3	0	0	0	0	4	0
677	V. Crespo	Vera	a100	0	2	0	0	0	0	4	0
539	V. Crespo	Lavalleja	a300	0	2	0	0	0	0	4	0
710	V. Crespo	Luis Maria Drago	a100	0	1	0	0	0	0	4	1
667	V. Crespo	Corrientes	a5000	0	3	0	0	1	0	4	0
709	V. Crespo	Luis Maria Drago	a0-100	0	2	0	0	0	0	4	0
549	V. Crespo	Angel Gallardo	a100	0	3	0	0	0	1	4	0
666	V. Crespo	Corrientes	a4900	0	3	0	0	0	0	4	0
547	V. Crespo	Angel Gallardo	a0-50	0	5	0	0	1	0	4	0
665	V. Crespo	Corrientes	a4800	0	3	0	0	0	0	4	0
548	V. Crespo	Angel Gallardo	a50-100	0	4	0	0	0	0	4	0
676	V. Crespo	Vera	a0-100	0	3	0	0	0	1	4	0
533	V. Crespo	Julian Alvarez	a300	0	2	0	0	0	0	4	0
550	V. Crespo	Angel Gallardo	a200	0	3	0	0	0	0	4	0
664	V. Crespo	Corrientes	a4700	0	4	0	0	0	0	4	0
821	Once	Tte. Gral. Peron	a3000	0	1	0	0	0	0	4	1
806	Once	Rivadavia	a3000	0	4	0	1	0	0	4	0
833	Once	Valentin Gomez	a2900	1	0	0	0	0	0	4	0
834	Once	Valentin Gomez	a3000	0	1	0	0	1	0	4	1
827	Once	Sarmiento	a2800	0	2	0	0	0	0	4	0
813	Once	Bartolome Mitre	a3000	0	3	0	0	0	0	4	0
724	Once	Jean Jaures	a0-100	0	3	0	0	0	0	4	0
819	Once	Tte. Gral. Peron	a2800	0	1	0	0	0	0	4	1
820	Once	Tte. Gral. Peron	a2900	1	0	1	0	0	0	4	0
736	Once	Ecuador	a400	0	1	0	0	0	0	4	1
744	Once	Boulogne Sur Mer	a400	0	1	0	0	0	0	4	1
832	Once	Valentin Gomez	a2800	0	1	0	0	1	0	4	1
804	Once	Rivadavia	a2800	0	4	0	0	1	0	4	0
742	Once	Boulogne Sur Mer	a200	0	1	0	0	0	0	4	1
