oil	output	price	time
11.877264	36.064236	-47.999535	1973m2
1.4191496	41.527016	-48.286472	1973m3
1.1777108	43.991249	-47.0825	1973m4
27.455135	48.105888	-43.857651	1973m5
-13.110436	52.033463	-41.571064	1973m6
36.258072	52.94286	-40.987961	1973m7
-14.084422	57.665997	-42.781731	1973m8
20.83655	63.155869	-37.573864	1973m9
-23.715773	74.403786	-38.454929	1973m10
-59.708187	72.906609	-34.808853	1973m11
9.1212997	76.71209	-31.048386	1973m12
26.176655	72.717613	12.969996	1974m1
10.102647	64.878448	38.007259	1974m2
9.230979	68.652061	39.179806	1974m3
15.544122	63.149658	38.475567	1974m4
3.5457981	70.42907	39.772537	1974m5
-8.8525591	60.627159	39.259609	1974m6
-23.292599	50.688232	36.246944	1974m7
-31.902449	48.511726	34.486721	1974m8
11.852437	48.834946	31.903646	1974m9
3.7577178	49.145885	30.395372	1974m10
1.6348628	47.492512	30.140623	1974m11
-10.765544	26.63957	31.654993	1974m12
-48.806908	11.562386	30.496456	1975m1
-23.393274	4.9306378	32.09343	1975m2
-1.9156272	-8.6688633	33.461021	1975m3
-8.9174376	-22.303537	32.932236	1975m4
5.5225453	-24.93713	32.819118	1975m5
29.962196	-17.903097	38.489525	1975m6
31.172342	-22.687222	36.707611	1975m7
25.594091	-26.356646	37.893826	1975m8
37.025791	-15.557235	35.673878	1975m9
-118.88749	-15.178859	39.447163	1975m10
41.380642	-6.6756525	41.28027	1975m11
16.223125	-16.741283	39.19817	1975m12
-17.554892	-26.532894	27.859425	1976m1
31.913338	-30.845825	27.604988	1976m2
29.585541	-13.799185	29.294073	1976m3
-22.13142	-10.641364	28.223461	1976m4
5.1251841	-2.7935531	27.83938	1976m5
38.757942	-.40016598	27.829517	1976m6
7.2057147	-4.5850301	27.524117	1976m7
8.4736681	-6.6081815	27.515978	1976m8
18.511911	-7.226429	26.18047	1976m9
36.208382	-4.127707	25.809357	1976m10
11.15496	-3.0070055	26.129473	1976m11
29.306982	-16.616829	26.567188	1976m12
-113.32947	-29.198923	28.930632	1977m1
77.983208	-25.173716	30.640162	1977m2
9.7543087	-25.468048	30.411016	1977m3
-18.950365	-23.678209	28.496428	1977m4
-38.987625	-16.671413	29.958036	1977m5
18.3141	-20.90003	29.529312	1977m6
-23.143414	-24.371849	27.727463	1977m7
16.960978	-26.902206	28.883642	1977m8
24.920395	-27.018709	27.323109	1977m9
-2.5589347	-14.285117	27.247845	1977m10
22.836309	-14.722074	26.943411	1977m11
24.046875	-18.628262	27.482166	1977m12
-113.88154	-19.05797	25.202784	1978m1
31.392494	-19.325003	23.964996	1978m2
10.447789	-19.747623	24.436302	1978m3
18.112864	-20.322878	22.477112	1978m4
-20.588291	-6.6047134	22.303513	1978m5
