country	year	EG_total	EC_total	EC_c	EC_d	FU_c	FU_d	FU_total	EC_c_alt	EC_d_alt
AUS	1995	162405	42192	8579	33613	24796	1553914	1578710	11332761600	22142226432
AUS	1996	166644	42897	8623	34274	27342	1609914	1637256	11395926016	22577653760
AUS	1997	171917	43581	8665	34916	27814	1655529	1683343	11456454656	23000563712
AUS	1998	183021	44783	9220	35563	28698	1843898	1872596	12194679808	23426768896
AUS	1999	190068	45996	9229	36767	30044	1932650	1962694	12207181824	24219891712
AUS	2000	195408	46208	9263	36945	29090	1968429	1997519	12249682944	24337147904
AUS	2001	206778	47008	9311	37697	32928	2122135	2155063	12142313472	25121417216
AUS	2002	213012	49733	9405	40328	35901	2358725	2394626	12534950912	28851490816
AUS	2003	209044	49660	9514	40146	39614	2324316	2363930	12544029696	28742094848
AUS	2004	219796	49786	9702	40084	45374	2371300	2416674	12662242304	27963559936
AUS	2005	230631	50546	10086	40460	46552	2492999	2539551	13306652672	29468583936
AUS	2006	232111	51216	10174	41042	47158	2547383	2594541	13631740928	30350475264
AUS	2007	233826	53190	10651	42539	47777	2461486	2509263	14494429184	33654370304
AUS	2008	240177	54627	10853	43774	67363	2466465	2533828		
AUS	2009	241865	56945	11188	45757	65779	2496018	2561797		
AUT	1995	55001	17440	11306	6134	24544	194051	218595	14908047360	4040710912
AUT	1996	53180	17521	11379	6142	29764	209622	239386	15002415104	4045980928
AUT	1997	55124	17861	11554	6307	28531	203816	232347	15229549568	4154672896
AUT	1998	55900	17456	11474	5982	28939	195902	224841	15122589696	3940582400
AUT	1999	58550	17847	11687	6160	29718	193585	223303	15401945088	4057838080
AUT	2000	59073	17805	11671	6134	26859	173941	200800	15374969856	4040710912
AUT	2001	60190	18112	11717	6395	28572	188843	217415	15240384512	4261651200
AUT	2002	59956	17890	11648	6242	31770	183532	215302	15465869312	4465656832
AUT	2003	57441	18188	11905	6283	33819	214529	248348	15581632512	4498246144
AUT	2004	61383	18735	12199	6536	38685	214588	253273	15807060992	4559670272
AUT	2005	63546	18914	12458	6456	49126	225811	274937	16358218752	4702154752
AUT	2006	61788	19150	12645	6505	57500	205012	262512	16853058560	4810434048
AUT	2007	62738	19100	12820	6280	66753	189878	256631	17286035456	4968368640
AUT	2008	64161	20555	13308	7247	75040	190030	265070		
AUT	2009	66717	20853	13566	7287	77738	179658	257396		
BEL	1995	70612	14917	7040	7877	19682	292764	312446	11588304896	5188894720
BEL	1996	72315	14852	7101	7751	19056	291175	310231	11693732864	5105893376
BEL	1997	75023	14693	7121	7572	19337	280038	299375	11728299008	4987978752
BEL	1998	79436	15404	7132	8272	19218	320775	339993	11746091008	5449096704
BEL	1999	80844	15522	7133	8389	20090	293237	313327	11742121984	5526169600
BEL	2000	80266	15685	7140	8545	21080	290933	312013	11749751808	5628933120
BEL	2001	76216	15533	7185	8348	24307	265895	290202	11912239104	5563137536
BEL	2002	78147	15552	7214	8338	23431	272936	296367	12096488448	5965178880
BEL	2003	80858	15615	7249	8366	29817	304581	334398	11537720320	5989547008
BEL	2004	81730	15648	7283	8365	32700	308129	340829	11620793344	5835624448
BEL	2005	83396	16096	7383	8713	35426	306975	342401	12210503680	6346015232
BEL	2006	81977	16260	7453	8807	44807	294814	339621	12493628416	6512758272
BEL	2007	85098	16380	7538	8842	51131	294700	345831	14257329152	6995273216
BEL	2008	81384	16760	7629	9131	58386	277269	335655		
BEL	2009	87523	17496	8313	9183	65370	294662	360032		
CAN	1995	542998	115505	81187	34318	57951	1232127	1290078	113830100992	22606637056
CAN	1996	556134	116940	82097	34843	59871	1200940	1260811	115031236608	22952476672
CAN	1997	556390	112653	80260	32393	70665	1346022	1416687	111380160512	21338562560
CAN	1998	544078	109949	77618	32331	74811	1500728	1575539	106761158656	21297721344
CAN	1999	559437	110974	77840	33134	84173	1487136	1571309	107033583616	21826689024
CAN	2000	586651	111324	78141	33183	83462	1643647	1727109	107426570240	21858967552
CAN	2001	570512	112537	77834	34703	87168	1679941	1767109	106136371200	23126204416
CAN	2002	582095	114979	80012	34967	91398	1586812	1678210	111135383552	25016119296
CAN	2003	570171	118271	81348	36923	91488	1655972	1747460	110823587840	26434623488
CAN	2004	580896	120459	84140	36319	89197	1576849	1666046	114556157952	25337006080
CAN	2005	606082	122838	86044	36794	92674	1538551	1631225	119570677760	26798495744
CAN	2006	595424	123947	87683	36264	87930	1508091	1596021	123458707456	26817153024
CAN	2007	620840	126376	88619	37757	83494	1565997	1649491	128607125504	29871130624
CAN	2008	621310	127610	90174	37436	70934	1508967	1579901		
CAN	2009	585036	131478	91873	39605	67273	1271598	1338871		
CZE	1995	56880	13803	3159	10644	6085	691215	697300	4886391808	7011628032
CZE	1996	59899	14973	3774	11199	6143	724892	731035	5697256960	7377228800
CZE	1997	59956	15103	3810	11293	9619	703826	713445	5744722432	7439150080
CZE	1998	60264	14892	3794	11098	10232	670271	680503	5723226624	7310695936
CZE	1999	60092	15216	3914	11302	20487	636261	656748	5881444352	7445079040
CZE	2000	68014	15323	3858	11465	17206	695387	712593	5807609344	7552453632
CZE	2001	68780	15443	3906	11537	17169	708484	725653	5873131520	7688298496
CZE	2002	70393	16310	4911	11399	17008	685291	702299	7734297600	8155082240
CZE	2003	76659	17343	5920	11423	12648	690765	703413	9106916352	8178173440
CZE	2004	77919	17434	5936	11498	15705	691870	707575	9138814976	8021280768
CZE	2005	76192	17412	5956	11456	12019	674592	686611	9479959552	8343848448
CZE	2006	77884	17508	5980	11528	12674	668859	681533	9658042368	8524932096
CZE	2007	81412	17562	6054	11508	15060	713986	729046	10780481536	9104456704
CZE	2008	77085	17739	6156	11583	18422	670094	688516		
CZE	2009	75990	18326	6672	11654	21844	628397	650241		
DEU	1995	498929	116226	32865	83361	111597	3736068	3847665	52266364928	54913220608
DEU	1996	516331	114942	33442	81500	122261	3794442	3916703	52904718336	53687308288
DEU	1997	512752	114025	33163	80862	121245	3607637	3728882	52155904000	53267030016
DEU	1998	517621	113678	33894	79784	137935	3672394	3810329	52858032128	52556910592
DEU	1999	518184	114761	35390	79371	119202	3546382	3665584	54277935104	52284850176
DEU	2000	538489	118381	37587	80794	132230	3534557	3666787	56495161344	53222236160
DEU	2001	548166	120118	40738	79380	159680	3667028	3826708	59872628736	52899119104
DEU	2002	549288	126255	45163	81092	164058	3685358	3849416	66061484032	58014904320
