store	chain	co_owned	state	southj	centralj	northj	pa1	pa2	shore	ncalls	empft	emppt	nmgrs	wage_st	inctime	firstinc	meals	open	hoursopen	pricesoda	pricefry	priceentree	nregisters	nregisters11	time
46	1	0	0	0	0	0	1	0	0	0	30	15	3		19		2	6.5	16.5	1.03	1.03	.51999998	3	3	0
49	2	0	0	0	0	0	1	0	0	0	6.5	6.5	4		26		2	10	13	1.01	.89999998	2.3499999	4	3	0
506	2	1	0	0	0	0	1	0	0	0	3	7	2		13	.37	2	11	10	.94999999	.74000001	2.3299999	3	3	0
56	4	1	0	0	0	0	1	0	0	0	20	20	4	5	26	.1	2	10	12	.87	.81999999	1.79	2	2	0
61	4	1	0	0	0	0	1	0	0	0	6	26	5	5.5	52	.15000001	3	10	12	.87	.76999998	1.65	2	2	0
62	4	1	0	0	0	0	1	0	0	2	0	31	5	5	26	.07	2	10	12	.87	.76999998	.94999999	2	2	0
445	1	0	0	0	0	0	0	1	0	0	50	35	3	5	26	.1	2	6	18	1.04	.88	.94	3	3	0
451	1	0	0	0	0	0	0	1	0	0	10	17	5	5	52	.25	2	0	24	1.05	.83999997	.95999998	6	4	0
455	2	1	0	0	0	0	0	1	0	0	2	8	5	5.25	13	.25	1	11	10	.73000002	.73000002	2.3199999	2	2	0
458	2	1	0	0	0	0	1	0	0	2	2	10	2	5	19	.15000001	1	11	10	.94	.73000002	2.3199999	4	4	0
462	3	1	0	0	0	0	0	1	0	0	2.5	20	3	5	13	.37	2	9	12.5	1.05	1.01	1.11	4	4	0
468	1	0	0	0	0	0	0	1	0	0	40	30	3	5	13	.17	2	6	18	.94999999	.94	.94999999	4	3	0
469	1	0	0	0	0	0	0	1	0	0	8	27	5	5	39	.25	2	6	18	.92000002	.72000003	.95999998	3	2	0
470	1	0	0	0	0	0	0	1	0	0	10.5	30	3	5.5		.30000001	2	6	18	.97000003	.83999997	.94	3	3	0
474	1	0	0	0	0	0	0	1	0	2	6	9	3	5	26	.37	2	9	12.5	1.13	.98000002	1.01	3	1	0
481	2	1	0	0	0	0	0	1	0	2	5	17.5	3	5.25	26	.25	3	11	10	.94999999	.74000001	2.53	5	4	0
483	2	1	0	0	0	0	0	1	0	0	1	15	1	5	13	.07	2	11	10	.94	.73000002	2.3199999	4	3	0
487	3	1	0	0	0	0	0	1	0	0	10	6	2	5	13	.17	2	10	11.5	1.11	.91000003	.94999999	6	3	0
488	3	0	0	0	0	0	0	1	0	1	20	13	3	5	13	.25	2	6	16	1.05	.79000002	1.01	5	5	0
489	3	0	0	0	0	0	0	1	0	2	5	23	2	5	13	.37	2	7	14	1.05	1.01	.94	4	4	0
490	3	1	0	0	0	0	0	1	0	0	10	12.5	4	5	13	.12	2	6	16	1.05	1.01	1.05	4	4	0
493	3	1	0	0	0	0	1	0	0	0	27	12	3	5	26	.25	2	6	16	1.05	.89999998	2.01	6	3	0
495	3	0	0	0	0	0	0	1	0	2	4	28	3	5	26	.25	2	7	15	1.05	1.01	.94	3	3	0
496	3	1	0	0	0	0	0	1	0	0	10	15	3	5	13	.17	2	6	16	1.05	.89999998	.73000002	5	3	0
499	4	1	0	0	0	0	0	1	0	0	0	28	5	5	26	.07	2	10	12	.89999998	.69	1.75	2	2	0
509	3	1	0	0	0	0	0	1	0	2	3	16	3	5	13	.25	2	6	16	1.05	.94999999	1.16	6	3	0
515	3	1	0	0	0	0	0	1	0	0	7	16	4	5	13	.2	2	6	16	1.05	.94	1.16	5	3	0
37	1	0	0	0	0	0	1	0	0	2	21	9	7	4.25	4	.25	2	6.5	16.5	.98000002	.83999997	.83999997	5	3	0
39	1	0	0	0	0	0	1	0	0	0	1	32	2	4.25	8		2	6.5	17.5	1.03	.73000002	.51999998	4	2	0
40	1	0	0	0	0	0	1	0	0	0	10	20	7	4.25	4	.15000001	2	6.5	16.5	.98000002	.81999999	.80000001	3	3	0
41	1	0	0	0	0	0	1	0	0	0	0	27	6	4.25	18	.2	2	6.5	16.5	.98000002	.81999999	.85000002	3	3	0
42	1	0	0	0	0	0	1	0	0	2	17	4	5	4.5			2	6.5	16.5	.98000002	.82999998	.86000001	3	3	0
45	1	0	0	0	0	0	1	0	0	0	0	24	6	4.25	2	.25	2	7	16	.98000002	.82999998	.86000001	3	3	0
47	1	0	0	0	0	0	1	0	0	2	25	15		4.5	4	.17	2	6	17	1.05	.86000001	.86000001	3	3	0
