"case"	"alternative"	"choice"	"distance"	"cost"	"intime"	"outtime"	"income"	"urban"
109	"train"	0	377	58.25	215	74	45	0
109	"air"	1	377	142.8	56	85	45	0
109	"bus"	0	377	27.52	301	63	45	0
109	"car"	0	377	71.63	262	0	45	0
110	"train"	0	377	58.25	215	74	70	0
110	"air"	1	377	142.8	56	85	70	0
110	"bus"	0	377	27.52	301	63	70	0
110	"car"	0	377	71.63	262	0	70	0
111	"train"	0	377	58.25	215	74	35	0
111	"air"	1	377	142.8	56	85	35	0
111	"bus"	0	377	27.52	301	63	35	0
111	"car"	0	377	71.63	262	0	35	0
112	"train"	0	377	58.25	215	74	70	0
112	"air"	1	377	142.8	56	85	70	0
112	"bus"	0	377	27.52	301	63	70	0
112	"car"	0	377	71.63	262	0	70	0
113	"train"	0	377	58.25	215	74	70	0
113	"air"	1	377	142.8	56	85	70	0
113	"bus"	0	377	27.52	301	63	70	0
113	"car"	0	377	71.63	262	0	70	0
114	"train"	0	377	58.25	215	74	55	0
114	"air"	1	377	142.8	56	85	55	0
114	"bus"	0	377	27.52	301	63	55	0
114	"car"	0	377	71.63	262	0	55	0
115	"train"	0	377	58.25	215	74	25	0
115	"air"	1	377	142.8	56	85	25	0
115	"bus"	0	377	27.52	301	63	25	0
115	"car"	0	377	71.63	262	0	25	0
116	"train"	0	377	58.25	215	74	70	0
116	"air"	1	377	142.8	56	85	70	0
116	"bus"	0	377	27.52	301	63	70	0
116	"car"	0	377	71.63	262	0	70	0
117	"train"	0	377	58.25	215	74	70	0
117	"air"	1	377	142.8	56	85	70	0
117	"bus"	0	377	27.52	301	63	70	0
117	"car"	0	377	71.63	262	0	70	0
118	"train"	0	377	58.25	215	74	45	0
118	"air"	1	377	142.8	56	85	45	0
118	"bus"	0	377	27.52	301	63	45	0
118	"car"	0	377	71.63	262	0	45	0
119	"train"	0	377	58.25	215	74	70	0
119	"air"	0	377	142.8	56	85	70	0
119	"bus"	0	377	27.52	301	63	70	0
119	"car"	1	377	71.63	262	0	70	0
120	"train"	0	377	58.25	215	74	25	0
120	"air"	0	377	142.8	56	85	25	0
120	"bus"	0	377	27.52	301	63	25	0
120	"car"	1	377	71.63	262	0	25	0
121	"train"	0	377	58.25	215	74	70	0
121	"air"	0	377	142.8	56	85	70	0
121	"bus"	0	377	27.52	301	63	70	0
121	"car"	1	377	71.63	262	0	70	0
122	"train"	0	377	58.25	215	74	45	0
122	"air"	0	377	142.8	56	85	45	0
122	"bus"	0	377	27.52	301	63	45	0
122	"car"	1	377	71.63	262	0	45	0
123	"train"	0	377	58.25	215	74	70	0
123	"air"	0	377	142.8	56	85	70	0
123	"bus"	0	377	27.52	301	63	70	0
123	"car"	1	377	71.63	262	0	70	0
124	"train"	0	377	58.25	215	74	15	0
124	"air"	0	377	142.8	56	85	15	0
124	"bus"	0	377	27.52	301	63	15	0
124	"car"	1	377	71.63	262	0	15	0
125	"train"	0	377	58.25	215	74	70	0
125	"air"	0	377	142.8	56	85	70	0
125	"bus"	0	377	27.52	301	63	70	0
125	"car"	1	377	71.63	262	0	70	0
126	"train"	0	377	58.25	215	74	55	0
126	"air"	0	377	142.8	56	85	55	0
126	"bus"	0	377	27.52	301	63	55	0
126	"car"	1	377	71.63	262	0	55	0
127	"train"	0	377	58.25	215	74	35	0
127	"air"	0	377	142.8	56	85	35	0
127	"bus"	0	377	27.52	301	63	35	0
127	"car"	1	377	71.63	262	0	35	0
128	"train"	0	377	58.25	215	74	35	0
128	"air"	0	377	142.8	56	85	35	0
128	"bus"	0	377	27.52	301	63	35	0
128	"car"	1	377	71.63	262	0	35	0
129	"train"	0	387	58.25	316	59	55	0
129	"air"	0	387	145.8	56	85	55	0
129	"bus"	0	387	26.67	301	58	55	0
129	"car"	1	387	73.53	251	0	55	0
130	"train"	0	387	58.25	316	59	45	0
130	"air"	0	387	145.8	56	85	45	0
130	"bus"	0	387	26.67	301	58	45	0
130	"car"	1	387	73.53	251	0	45	0
131	"train"	0	404	60.25	316	74	70	0
131	"air"	0	404	146.2	56	94	70	0
131	"bus"	0	404	26.67	301	93	70	0
131	"car"	1	404	76.76	265	0	70	0
132	"train"	1	365	60.85	237	94	70	1
132	"air"	0	365	151.2	56	77	70	1
132	"bus"	0	365	27.82	301	83	70	1
132	"car"	0	365	69.35	245	0	70	1
133	"train"	0	365	60.85	237	94	55	1
