state	povrate60	mort_age59_related_postHS	mort_age59_injury_postHS	mort_age59_all_postHS	mort_age25plus_related_postHS	mort_age25plus_injuries_postHS	mort_age59_related_preHS	census1960_pop	census1960_pctsch1417	census1960_pctsch534	census1960_pctsch25plus	census1960_pop1417	census1960_pop534	census1960_pop25plus	census1960_pcturban	census1960_pctblack
13	15.208512	.68463606	25.331535	41.078163	85.807083	87.959946	4.7032266	94443	94.199997	.55657661	57.200001	6054	43746	49629	70.199997	.30000001
23	15.211784	2.073384	22.807224	42.849934	120.63004	70.977295	8.2453823	150265	88.5	.57351351	36.299999	10219	71327	76846	67	8.3999996
36	15.217506	3.3100526	16.550262	31.445499	103.50594	73.338379	2.533313	57401	92	.54655576	44.099998	3597	26087	30258	51.200001	1.4
48	15.225448	0	22.941042	53.529099	115.62309	100.37609	13.616558	9732	94	.55944055	52.400002	703	4719	5156	26.9	.5
36	15.241119	0	26.560425	41.737812	116.62106	80.212532	5.8788948	25280	86.599998	.51311445	42.799999	1644	11514	13730	26.5	0
36	15.258311	1.0909973	12.682844	30.002428	107.43986	56.943123	3.3508053	684189	87.900002	.50759232	49.599998	34784	329280	369764	92.199997	11.8
49	15.276113	0	3.8465977	15.386391	121.52226	61.530258	27.179821	29026	84	.48930192	34.099998	1728	13881	15729	54.400002	1.4
23	15.281658	0	20.742872	31.805737	109.08718	61.742855	0	53369	91.900002	.57935607	40.599998	3663	25499	27963	43.200001	.1
36	15.302838	.82298428	16.459686	27.158482	104.66354	71.80571	3.1833954	80418	85.199997	.51091641	35.700001	4967	40856	39952	14.2	1.2
14	15.32366	1.7469232	16.59577	29.697695	120.57181	60.892403	5.2688427	118687	89.800003	.53390259	43.200001	6882	53403	66664	75.699997	5.0999999
17	15.327413	11.82872	7.8858132	31.543253	122.505	88.557838	13.051423	32825	93.300003	.56645125	50.099998	1994	15011	17591	73.099998	1.8
38	15.348787	0	26.490067	46.357616	118.18892	93.118538	0	18941	95.699997	.56487072	44.099998	1371	8779	10194	22.4	.1
39	15.369647	3.9522958	13.833035	27.666071	141.6684	76.031929	3.7147102	127976	90.400002	.5543555	43.599998	8228	57961	70965	53.799999	3.9000001
5	15.378343	1.5053797	13.333362	28.387157	80.112228	71.236626	5.4220695	199705	89	.50812358	47	11968	98417	105492	61.900002	1.8
17	15.381823	2.4053495	14.432097	24.053495	103.62965	63.42004	6.1050062	54977	91.5	.44860321	58.799999	2724	27599	27241	79	0
24	15.384048	0	22.209061	33.313591	114.50443	72.573235	0	28482	92.5	.57122177	37.700001	1744	12433	15247	32.299999	0
6	15.412511	0	17.034807	34.069614	117.32864	136.76346	0	12219	90.5	.56474102	45.200001	808	5020	6978	30.299999	.1
50	15.42452	.94865859	6.6406102	25.613783	103.40761	58.788216	1.4123096	58768	93.300003	.56325364	44	6279	48598	59606	72.099998	0
51	15.453145	0	33.279716	44.372955	123.85413	165.72032	10.269049	15293	93.400002	.55260468	49	950	6853	8222	60	.69999999
5	15.455306	0	13.506669	37.143341	121.62097	111.55881	5.0428643	60270	92.900002	.59566969	46.799999	4110	27804	32351	50	.69999999
30	15.472637	0	17.156778	17.156778	157.41408	78.490211	0	36852	87	.57209533	35.200001	2373	16284	20973	48	0
13	15.47486	32.404408	32.404408	64.808815	120.89087	106.94193	0	3627	91.900002	.56488991	48	285	1726	1912	0	0
50	15.475176	0	16.882481	27.011971	109.87483	64.055656	7.933989	58836	94	.59954977	45.400002	3740	26208	32037	63.900002	0
45	15.481195	0	9.9226036	19.845207	100.90369	97.935928	21.729683	18244	93.800003	.50570703	50.200001	1203	9462	8166	51.099998	1.2
18	15.483916	3.9609711	21.125179	33.008095	149.59035	80.328491	3.6493688	86920	85.5	.51745027	30.799999	5075	38624	48242	82.900002	.89999998
5	15.500007	3.4646735	18.189535	38.400131	131.85425	122.383	4.3011608	739733	90.300003	.49141079	51	31978	287570	492121	100	10
14	15.514885	4.2997346	26.873341	42.997345	104.51046	78.863724	9.3738279	92039	87.599998	.51779282	33.900002	5041	38021	54863	49.099998	8.6999998
42	15.526875	0	46.314163	46.314163	110.37527	82.490997	0	13005	86.199997	.53894573	55.5	803	6355	6326	79.300003	0
39	15.564217	3.3060803	17.191618	36.366882	104.43958	55.784279	5.271111	276554	79.099998	.50337076	33.900002	16930	127123	155498	49.5	1.3
36	15.568171	1.8719405	17.783436	32.758961	114.72166	66.310753	1.7831033	91017	92	.51919049	43.900002	5338	41557	49519	52.700001	1.4
15	15.590141	0	19.01683	30.902349	100.58105	66.151382	0	26633	89.599998	.49224374	46.700001	1768	12506	14320	33.900002	.2
24	15.595963	0	8.087779	16.175558	108.97739	65.083717	0	39109	95	.60245508	47.299999	2367	19633	19223	64.099998	0
14	15.600868	2.7575936	13.787969	28.954735	114.28432	78.024384	1.1528441	148129	87.5	.53777379	44.099998	8196	61961	86269	76	4
17	15.609942	5.5179372	16.553812	32.319347	117.65765	85.182922	2.3490722	141864	85.699997	.47939819	54.299999	7178	65868	77879	84.599998	6.6999998
33	15.613993	2.5740688	11.154298	29.172781	112.59801	69.460625	.98742026	183676	89.5	.55003393	37.400002	11267	79526	107382	50.700001	5.1999998
33	15.658912	1.5631106	23.446659	37.514656	132.23103	66.063416	2.4323797	142905	89.199997	.59509462	38.599998	8551	61728	82307	64.599998	1.7
36	15.661643	2.1313326	23.44466	38.363991	121.24121	72.931732	6.8054991	46969	93.699997	.51666898	45.900002	2964	21447	25755	65.099998	.69999999
31	15.676363	1.4357501	17.229002	27.279253	126.85279	59.815258	8.3584089	63274	89.900002	.54182673	36.200001	3723	26813	37521	50.799999	.89999998
39	15.690883	.80532157	11.274502	24.159647	123.54619	67.844574	9.2673502	115336	90	.52071244	41	7373	52891	62485	29.299999	.40000001
22	15.699658	0	0	27.723869	168.36816	117.59046	0	3682	0	.45892736	57.099998	166	1473	2239	78.800003	3
27	15.70413	0	39.908779	51.311287	98.027206	103.68262	10.541851	12598	85.300003	.50772232	40.299999	844	6151	6234	22.6	0
36	15.717935	3.3722262	23.605585	38.780602	148.33545	73.918846	5.8102374	54217	95.699997	.5448615	51	3288	24219	29571	62	.5
42	15.718985	0	38.986355	38.986355	102.7538	116.45431	61.387356	4256	89	.45655239	41.900002	238	2129	1803	64.800003	0
33	15.723678	0	19.199385	26.399155	131.71988	55.469414	1.6101503	99081	88.099998	.55903292	42.599998	5971	43967	55259	74.800003	2.5999999
15	15.728773	2.7236452	17.703695	34.045567	114.5569	89.055534	2.1041114	76048	86.699997	.49500689	41.200001	4543	35549	40941	63.400002	4.1999998
36	15.729178	2.8870862	31.757946	49.080463	96.9245	70.455154	16.625103	35182	96.300003	.54405463	39.700001	2262	16105	19327	27.700001	.89999998
36	15.732388	2.5367191	17.757032	40.587505	126.24191	64.904037	8.1221571	38941	90	.51672465	46.5	2479	17818	21359	51.700001	.40000001
37	15.74745	2.7689326	16.613596	33.227192	103.25164	82.0961	17.22831	42203	92.800003	.5196566	56.299999	2653	19917	23497	75.300003	3.2
33	15.75469	.82075524	19.698126	35.292477	136.39566	69.933014	5.73842	145594	90.699997	.57144022	38.200001	8706	61457	85225	57.099998	.89999998
14	15.755563	3.3787208	13.514883	37.165928	98.907928	78.004707	53.304905	25399	90.5	.56578946	42.700001	1450	11096	13578	10.3	0
33	15.759761	0	7.0738869	22.990131	99.854584	66.640694	11.784809	66314	93	.68176806	56.900002	3852	35361	32527	47.700001	1.9
24	15.795619	0	51.390762	51.390762	112.95773	84.255356	0	18117	93.400002	.58433872	35.5	1297	8620	9233	37.299999	0
33	15.797371	3.1623054	22.926714	33.994781	121.43143	72.273643	10.425976	118851	88.199997	.51753479	37.099998	6514	51241	70289	42	3.4000001
50	15.804231	2.5377491	19.033117	31.721863	110.91577	63.776569	8.0003204	74629	91.699997	.55655974	38.900002	4660	33416	41286	58	.1
48	15.815968	0	11.981788	26.959023	144.31186	106.79753	0	42342	96.400002	.59798056	50.900002	2562	18718	24449	67.699997	.89999998
38	15.828988	0	16.675005	33.35001	141.92874	99.599113	0	4820	91.400002	.52215189	49.400002	341	2212	2696	0	0
44	15.829361	0	23.812359	35.718536	79.274956	119.98372	0	8217	82.900002	.47730976	44.299999	607	4297	3894	53.599998	1
48	15.835903	0	37.832932	37.832932	129.05663	121.71194	21.177467	14084	93.5	.52048779	43.799999	942	6150	7261	18.799999	0
39	15.853518	0	14.572657	20.644598	121.46237	67.258369	8.3395882	114334	91.099998	.53042209	37.799999	6955	50654	63979	52.599998	2.5
14	15.86318	4.20327	16.81308	33.62616	113.05902	77.87468	0	33859	69.199997	.42807132	35.099998	2315	15140	19765	50.200001	1.6
29	15.8867	0	37.835793	37.835793	203.14391	183.79686	50.505051	3281	0	.5659259	45.400002	198	1350	1880	0	.40000001
27	15.887096	0	49.751244	49.751244	121.66273	135.1808	0	2500	0	.49847096	51.200001	183	1308	1305	0	0
36	15.919261	0	17.876753	30.645861	125.45676	72.817558	0	31553	87.099998	.53871828	44	2016	14980	16347	56.099998	.1
44	15.928461	2.7379632	21.903706	39.700466	100.5397	95.11055	7.3211803	68058	86.599998	.45406166	60.5	3973	36266	33844	93.400002	9.3000002
39	15.92946	.5607487	11.775723	30.28043	128.60152	68.879852	6.3921251	221285	89.900002	.49720144	42.900002	12795	94692	131050	76.900002	9.6000004
15	15.932877	3.136271	6.272542	28.226439	108.21866	81.412201	0	28389	89.199997	.54309458	43.799999	1958	12635	15628	37.900002	.1
15	15.9379	1.6326264	4.8978791	16.326263	109.5448	63.001118	3.0474796	48713	86	.46490967	40.799999	2991	23639	25259	43.299999	.69999999
38	15.94417	0	0	7.8192196	104.27837	93.457024	0	13706	93.699997	.59238195	44.799999	932	5802	7707	27.299999	.1
18	15.951385	3.2601697	13.855721	30.971613	128.07684	79.852608	7.7435341	121490	84.900002	.50307518	31.5	6792	54306	67121	84.199997	3.2
50	15.957062	1.4472408	13.025167	24.603094	132.04741	66.212891	2.1527598	71927	95.099998	.59459871	45.900002	4586	32807	39897	70	0
29	15.958749	13.444474	13.444474	40.333424	155.70401	148.46198	30.807148	5891	96	.49113825	46.700001	313	2539	3251	60.5	1.4
36	15.991829	1.3426712	13.158177	26.450623	124.4754	77.334259	3.9672644	864524	87.699997	.52592659	39.200001	45984	383892	490188	94.599998	14.3
32	15.996749	1.777367	14.218936	23.105772	90.679291	132.91348	2.3378687	54351	89.199997	.48824868	44.799999	3513	29018	26019	79.599998	4.9000001
23	16.008232	.75223035	20.310221	34.602596	109.90198	76.996414	6.7123103	101041	87.699997	.55900079	32.400002	6753	49440	51443	27.700001	1.9
